r_over_D,Nu_PINN
1.9397993311036787,6.225148631226533
1.9732441471571909,6.1143255718463045
2.006688963210702,6.011865676459984
2.040133779264214,5.914714500193277
2.0735785953177257,5.820715260561925
2.1070234113712374,5.728215858279919
2.140468227424749,5.635918863827339
2.1739130434782608,5.542847408061369
2.2073578595317724,5.44835952173554
2.2408026755852846,5.3521547113147845
2.2742474916387962,5.254268104378802
2.3076923076923075,5.155046606989472
2.341137123745819,5.0550986305242445
2.374581939799331,4.9552181091939556
2.4080267558528425,4.856270377833402
2.441471571906354,4.759052255527116
2.4749163879598663,4.664163456606846
2.508361204013378,4.57191283225646
2.5418060200668897,4.4823101825616
2.5752508361204014,4.395126754008058
2.6086956521739126,4.310014452644792
2.6421404682274243,4.22663481490794
2.6755852842809364,4.144756626655734
2.709030100334448,4.0643084448396
2.74247491638796,3.985388312740568
2.7759197324414715,3.9082444567702885
2.809364548494983,3.833245758940261
2.842809364548495,3.7608302533814513
2.876254180602007,3.6914288044651977
2.9096989966555182,3.6253722393249883
2.94314381270903,3.5628107835160536
2.9765886287625416,3.5036743515774376
3.0100334448160533,3.447690025972629
3.043478260869565,3.3944386939481355
3.0769230769230766,3.343431751234095
3.1103678929765888,3.2941819299359616
3.1438127090301005,3.2462549717133413
3.177257525083612,3.1993067493165186
3.210702341137124,3.1530984970225813
3.244147157190635,3.1075007985490584
3.2775919732441468,3.0624836384821332
3.311036789297659,3.0180934081363056
3.3444816053511706,2.9744241416666632
3.3779264214046822,2.9315762157079632
3.411371237458194,2.8896139883983825
3.4448160535117056,2.8485235656771075
3.4782608695652173,2.808181682830578
3.511705685618729,2.7683516317296197
3.5451505016722407,2.7287150368647097
3.5785953177257523,2.6889397771516586
3.612040133779264,2.6487760564681304
3.6454849498327757,2.6081461317104933
3.6789297658862874,2.567202307240022
3.712374581939799,2.526336947091606
3.745819397993311,2.486156150501277
3.779264214046823,2.447422605952272
3.8127090301003346,2.4109876693693493
3.846153846153846,2.3777036300187584
3.8795986622073575,2.348327724820944
3.9130434782608696,2.323423331426476
3.9464882943143818,2.3032884403182514
3.9799331103678925,2.2879303909543474
4.013377926421404,2.2770951447511107
4.046822742474916,2.270336734174916
4.080267558528428,2.26710196348235
4.113712374581939,2.2668048214917182
4.147157190635451,2.2688804032663743
4.180602006688963,2.272806461818214
4.214046822742475,2.2780939262066306
4.247491638795986,2.284248210291307
4.280936454849498,2.290721421405477
4.31438127090301,2.2968949026276113
4.3478260869565215,2.3021332181016727
4.381270903010034,2.3059147359964474
4.414715719063545,2.307966093316984
4.448160535117057,2.308311069058964
4.481605351170569,2.307218041325291
4.51505016722408,2.3051020076819784
4.5484949832775925,2.30245827548777
4.581939799331104,2.299843795064341
4.615384615384615,2.2978659808107316
4.648829431438126,2.2971219591572893
4.682274247491638,2.2980711674523215
4.7157190635451505,2.3009069770826502
4.749163879598662,2.305519996183221
4.782608695652174,2.3115682399472823
4.816053511705685,2.318605995388886
4.849498327759197,2.3261927041125827
4.882943143812708,2.3339550719471047
4.916387959866221,2.3416058630489927
4.949832775919733,2.348938490764424
4.983277591973244,2.3558153296482796
5.016722408026756,2.3621536517048805
5.050167224080267,2.3679131747640234
5.083612040133779,2.3730859654230456
5.117056856187292,2.3776853662227895
5.150501672240803,2.381734053118993
5.183946488294315,2.385250162633785
5.217391304347825,2.388233312945649
5.250836120401337,2.3906513886224143
5.284280936454849,2.3924304011387156
5.317725752508361,2.3934487403409057
5.351170568561873,2.393538383548531
5.384615384615384,2.392492298649328
5.418060200668896,2.390077723003149
5.4515050167224075,2.386054215114861
5.48494983277592,2.380194357845575
5.518394648829431,2.3723032525223933
5.551839464882943,2.3622345130175795
5.585284280936455,2.3499000234095817
5.618729096989966,2.3352735440751555
5.6521739130434785,2.318384432846613
5.68561872909699,2.299306720673934
5.719063545150502,2.278142778148694
5.752508361204014,2.2550066638433965
5.785953177257525,2.2300072605277377
5.8193979933110365,2.2032366083999877
5.852842809364548,2.1747655989887504
5.88628762541806,2.1446473054851
5.919732441471571,2.112929837400369
5.953177257525083,2.079678443789611
5.986622073578595,2.0450021559086697
6.020066889632107,2.009080387446634
6.053511705685619,1.9721863741246148
6.08695652173913,1.9347026374672471
6.120401337792642,1.897129236389948
6.153846153846153,1.8600848278142468
6.187290969899665,1.8243049908955657
6.2207357859531776,1.7906413361063431
6.254180602006689,1.7600643688974213
6.287625418060201,1.7336707867315126
6.321070234113712,1.712682100283272
6.354515050167224,1.6983962057433621
6.387959866220736,1.6920341046910803
6.421404682274248,1.6944495288295227
6.454849498327759,1.7057958855599062
6.48829431438127,1.7253614595717164
6.521739130434782,1.7516998048912795
6.5551839464882935,1.782942265794669
6.588628762541806,1.8170717852610951
6.622073578595318,1.8520590455565618
6.655518394648829,1.8859210778369606
6.688963210702341,1.9168278115640414
6.722408026755852,1.9433334159210214
6.7558528428093645,1.9646592507701126
6.789297658862876,1.9808186586521563
6.822742474916388,1.9924506178783903
6.8561872909699,2.000471860702466
6.889632107023411,2.0057670039458664
6.923076923076923,2.009031577929183
6.956521739130435,2.0107454898765775
6.989966555183947,2.0112136666951983
7.023411371237458,2.0106226069845348
7.056856187290969,2.009090442079954
7.090301003344481,2.0067039303153864
7.123745819397993,2.0035422996559236
7.157190635451505,1.9996889781033609
7.190635451505016,1.9952362604036473
7.224080267558528,1.990282401960881
7.25752508361204,1.9849253824191742
7.290969899665551,1.979253169213932
7.3244147157190636,1.9733333447539316
7.357859531772575,1.9672038578556528
7.391304347826087,1.9608631388084077
7.424749163879598,1.9542638205315943
7.45819397993311,1.9473088355102826
7.491638795986622,1.9398504400291134
7.525083612040134,1.9316931838952194
7.558528428093646,1.9226003589794272
7.591973244147157,1.9123052205264393
7.625418060200669,1.9005270660832265
7.65886287625418,1.8869900508149673
7.692307692307692,1.8714468392268895
7.725752508361204,1.8537032538645204
7.759197324414715,1.833642775527793
7.792642140468227,1.8112468222361398
7.826086956521739,1.7866096614800204
7.859531772575251,1.7599445405775267
7.8929765886287635,1.7315799108838097
7.926421404682275,1.7019459579763971
7.959866220735785,1.6715530499517066
7.993311036789296,1.6409636947557398
8.026755852842808,1.610759523228883
8.06020066889632,1.58150752971998
